,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
RegionName,California,Texas,Florida,New York,Pennsylvania,Illinois,Ohio,Georgia,North Carolina,Michigan,New Jersey,Virginia,Washington,Arizona,Massachusetts,Tennessee,Indiana,Maryland,Missouri,Wisconsin,Colorado,Minnesota,South Carolina,Alabama,Louisiana,Kentucky,Oregon,Oklahoma,Connecticut,Utah,Iowa,Nevada,Arkansas,Mississippi,Kansas,New Mexico,Nebraska,Idaho,West Virginia,Hawaii,New Hampshire,Maine,Rhode Island,Montana,Delaware,South Dakota,North Dakota,Alaska,District of Columbia,Vermont,Wyoming
8/31/2001,119942.95571209768,61357.76503971378,61775.30603694729,79502.10121967619,54797.38563231565,70638.21667941172,55457.95002475032,67989.85377235762,70281.98281560988,65441.73640412348,111326.4465576986,74731.21962952765,113518.68495741462,84381.24389788082,144323.68194043337,62343.00189,51196.36940495396,92247.752607766,53902.74097039847,71280.52867162487,124412.96987662314,82044.89437379893,63728.51796436658,53754.57463392616,54790.75959687193,42513.73772845895,100225.2887575798,42474.93929248337,109731.5687564862,113975.11995023565,47437.15956987275,100261.56712218293,48906.26383,44664.91350225292,47259.54690050657,,56788.02240525044,77315.83897286575,30832.65812071501,113996.01649967924,94646.37077594636,69967.45847563446,97484.88418482635,,91717.95910272303,54291.79139469988,,99798.55216704078,102036.67518741736,76188.08237765828,
9/30/2001,121176.9191774087,61443.19234984261,62334.84771,80038.98440921435,55092.95557082586,71291.94949705963,55693.53371,68348.32198123336,70493.77395445095,65826.37851752473,112495.28660150632,75253.80667050967,113950.48528492107,84801.72569796267,146092.13090446414,62548.31672733178,51311.07844262699,92945.06703538397,54220.10281630257,71713.15991942694,125327.88073943884,82983.93603893601,63961.8296642764,53926.19802832243,55057.46256856877,42694.62149969521,100633.65927219125,42648.91331171773,110893.14489794723,114213.40146432492,47666.35653311596,100858.72402473575,49084.03483313512,44836.67003664829,47440.47994077605,,56945.86385522207,77564.31704593144,30963.98552416962,114778.25167752928,95706.83241229752,70541.79678320844,98981.33069778758,,92246.88699284154,54414.89203634115,,100636.50891352048,103312.54285294272,76664.10296883412,
10/31/2001,122328.45366741886,61539.78966826896,62896.78591315698,80586.09997664846,55361.41205174171,72058.74114085645,55917.06397381358,68703.57271164084,70728.14603,66197.87553754596,113699.61556578746,75757.00491872734,114421.4840318535,85246.79558276615,147972.34716283705,62780.61824761049,51484.77135746503,93595.69044377212,54556.29557980314,72123.93201,126149.86116054612,83950.53372,64163.38212474296,54095.896118989214,55310.03659171955,42847.81567609812,101025.12905426828,42808.77876552288,112186.55162576772,114444.52861805708,47911.16728201564,101463.1411238726,49200.462181971525,45049.26917087531,47626.189411822335,,57104.05164298992,77746.30998460394,31097.746439386323,115553.69642502168,96737.94515,71035.26565104163,100597.79827786192,,92793.40797543291,54560.99207348522,,101204.2681086323,104587.5747703667,77142.71047386563,
11/30/2001,123396.9603073364,61605.29616545617,63438.21624187185,81158.34519015926,55638.41317696284,72603.35473076721,56120.36629412978,69023.58691414943,70914.04301834729,66535.01403660985,114798.26214196916,76294.65386601778,114850.53070807998,85692.27771463775,149826.6306136653,62966.28357240529,51628.240770166936,94226.83020017682,54910.80394422985,72524.50397980883,126830.20062825888,84884.89526688172,64352.42413832693,54267.43955364823,55539.75934380567,42992.08644993895,101381.46688663845,42932.93508312957,113342.27153572762,114613.28749146346,48123.33863634086,102013.84175555431,49297.04671599644,45219.333754753614,47816.91402214655,,57270.57475614156,77837.38637492659,31190.001215009324,116241.60542067082,97791.39726717932,71637.71466724736,102026.13719137752,,93333.34716550262,54702.63458753177,,101764.92694926784,105809.04406307034,77738.8354,
12/31/2001,124412.47832781584,61653.331821937936,63967.63581641327,81771.11002074064,55903.107870216096,72984.96836568473,56300.84884103981,69311.63427048747,71083.09932339877,66838.12137289751,115770.85319576734,76808.00775688438,115361.80405043796,86099.84325857452,151624.52795169735,63110.18868776272,51799.63771399952,94855.34832957906,55268.65425747055,72904.72313782129,127396.53971403596,85713.63606071187,64548.92187372248,54390.533465271255,55721.66593585722,43125.67363239269,101758.7978,43038.03009820068,114294.13158963202,114680.2804526776,48308.31703244936,102587.2612182448,49379.36418630809,45335.94416345617,48020.53744,,57450.77288405533,77925.88081465453,31258.984172545795,116817.45543838646,98857.491,72256.88853734778,103382.4163700058,,93885.51419417057,54704.87502322932,,102362.8900186094,106974.69614936294,78367.99037,
1/31/2002,125235.81560829876,61657.066873150594,64441.36824646246,82360.93946449878,56160.75769386507,73221.82817113142,56451.28015431729,69548.13879,71211.66107,67147.57372271847,116690.15696553652,77295.12687899928,115809.23121783957,86445.0977,153146.1636288274,63214.5451,51852.16581314275,95485.13932,55585.31899,73262.64596124402,127767.09857688792,86424.08909259136,64703.86165438344,54468.89247297824,55849.404423657565,43223.31403037345,102132.88528262748,43131.22164283352,115038.5639758218,114703.11902711463,48405.916240641534,103108.42662739726,49465.36380636543,45411.18980605478,48217.7685467744,,57657.90339530471,77978.37689609535,31311.71519362995,117221.0793335756,99937.10717304808,72978.21938449016,104456.53836134145,,94450.85886814178,54820.36739998378,,102728.18177090149,108093.7707588667,79014.26136704354,
2/28/2002,126058.91848138836,61695.72968658571,64874.59443164452,82873.60678927368,56407.46132142536,73525.65944552216,56562.72327704213,69767.28113379075,71320.86919367548,67403.73551915784,117643.53881922248,77778.00861140371,116218.86237416732,86762.68663290066,154464.86897896958,63321.83009877786,51881.78782281751,96114.87594,55880.59450471809,73598.60183153994,128083.73748999684,87047.98904641153,64791.572778900525,54567.80773118816,56004.80705239201,43310.66434052014,102492.43674737016,43240.59765463558,115701.4593980454,114675.4003526606,48465.21271110093,103562.94337655662,49567.07619887114,45432.93482246576,48391.58318151001,,57829.11509030936,78076.52093307374,31405.26409123708,117733.88609498764,100994.94870796944,73722.95693743815,105530.43402578468,,95037.84924625856,55069.21224,,103000.4799866652,109227.748578866,79638.98454146837,
3/31/2002,126987.61299484638,61790.81971857976,65298.88739863112,83285.10680809779,56662.96140035777,73901.44221551936,56667.52191141347,69966.36588476606,71410.27670150633,67637.94564812495,118633.48431646904,78275.12353124733,116553.68294114171,87106.79648015472,155793.83326307742,63426.953785074926,51830.96029536824,96760.61316373204,56119.77194419399,73893.25434351865,128468.6216913486,87633.75365,64854.69220473091,54649.76774093765,56223.56352121642,43383.33222281467,102820.66142413394,43341.31999239407,116475.13874015602,114718.90251315667,48504.22917,104061.3484332215,49675.372114604106,45443.01991477877,48542.33342,,57978.16074747081,78176.45313330299,31531.62804174439,118347.8761379366,101970.66327731656,74507.09426520497,106582.41672462937,,95627.93211282276,55356.84346184932,,103171.04192434008,110383.70977023317,80266.56619012979,
4/30/2002,128215.84129173908,61979.83869763906,65781.47008488742,83698.17154257013,56937.406,74245.47431116558,56778.32874,70182.89545159168,71482.74916783348,67818.20159373742,119624.31469584718,78833.82710000974,116845.93440500095,87484.15292718327,157219.99906505272,63516.87401625208,51792.47574741687,97474.17818115217,56358.83944247882,74164.38713675512,128919.6635556257,88193.71922522888,64895.66870430846,54743.708774385545,56501.41666616089,43480.71018308852,103139.30578418268,43461.3917,117386.05059742102,114806.3589902042,48626.8296,104619.59208135236,49805.86877062756,45404.67135148438,48689.09017,78550.92756889445,58138.47518176186,78312.21468099351,31657.715569326832,119117.3524700912,102966.66803378056,75276.17064954732,107823.23820214446,,96224.86749114806,55545.42127054958,,103627.2872685788,111672.43362383824,80879.32533845655,85025.78303153893
5/31/2002,129642.48421959042,62211.773853547056,66319.19648,84158.58627041613,57238.76255534197,74609.32453340689,56924.52668328682,70430.57141482181,71602.52603958834,68018.82697,120654.7178351169,79396.40842977456,117114.5931646864,87859.59157025494,158793.60413091836,63628.68458208174,51800.852786064825,98322.71994,56625.93932834338,74428.42834062799,129438.20156247853,88855.09466953257,65004.55871030936,54849.767485428085,56930.03980524663,43585.15063412932,103530.67965990632,43578.071974815866,118456.29413713414,114872.85079913704,48815.45697600835,105252.9500578704,49973.13336264551,45435.71082891361,48674.92478577022,78668.95446,58365.02735712352,78514.97378059507,31765.525658581875,119786.49430545142,103913.79708268167,75983.76525524574,109281.38675738285,,96793.20566931982,55628.28216340789,,104054.59452949086,113129.4152852539,81441.96837324159,84267.21483052282
